<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
META.US,60,20220114,210000,331.69,332.73,328.17,329.86,1225501,0
META.US,60,20220114,220000,329.87,332.1,329.79,331.9,2901545,0
META.US,60,20220118,160000,323.29,324.21,318.32,320.35,2623647,0
META.US,60,20220118,170000,320.46,323.96,319,319.46,2833445,0
META.US,60,20220118,180000,319.4,322.09,318.44,321.395,1494041,0
META.US,60,20220118,190000,321.36,321.67,319.26,319.54,1029593,0
META.US,60,20220118,200000,319.51,320.89,319.06,320.54,1147481,0
META.US,60,20220118,210000,320.54,321.94,319.44,321.17,1205644,0
META.US,60,20220118,220000,321.16,321.715,317.64,318.15,4273514,0
META.US,60,20220119,160000,319.582,323.63,319.582,322.035,1698166,0
META.US,60,20220119,170000,321.93,322.94,319.33,320.23,1772966,0
META.US,60,20220119,180000,320.14,323.64,319.88,323.29,1866172,0
META.US,60,20220119,190000,323.32,326.02,323.28,325.94,1497133,0
META.US,60,20220119,200000,325.92,327.1,324.684,325.32,1547272,0
META.US,60,20220119,210000,325.24,325.574,322.42,323,1170444,0
META.US,60,20220119,220000,322.939,324.08,319.33,319.59,2937739,0
META.US,60,20220120,160000,323.9,327.45,322.62,326.545,1606286,0
META.US,60,20220120,170000,326.76,327.82,325.51,326.625,1405706,0
META.US,60,20220120,180000,326.62,327.2,323.61,324.34,1352256,0
META.US,60,20220120,190000,324.34,325.08,323.466,323.73,834971,0
META.US,60,20220120,200000,323.73,323.78,322.45,322.77,912872,0
META.US,60,20220120,210000,322.86,324.44,321.02,321.25,1225658,0
META.US,60,20220120,220000,321.26,322.07,315.98,316.56,3037649,0
META.US,60,20220121,160000,314.81,318.31,311.705,311.9,2731624,0
META.US,60,20220121,170000,311.958,315.56,307.78,314.88,3165879,0
META.US,60,20220121,180000,314.95,315.33,310.01,311.24,1999193,0
META.US,60,20220121,190000,311.15,312.16,308.2,308.87,1364331,0
META.US,60,20220121,200000,308.865,309.79,307.99,308.49,1337404,0
META.US,60,20220121,210000,308.55,309.55,306.21,306.35,1594097,0
META.US,60,20220121,220000,306.36,308.696,303.04,303.17,6228185,0
META.US,60,20220124,160000,297.84,300.59,296,296.085,2193708,0
META.US,60,20220124,170000,296.03,298.65,293.85,295.22,2754819,0
META.US,60,20220124,180000,295.41,296.01,291.35,293.31,2704786,0
META.US,60,20220124,190000,293.3,294.94,289.01,294.185,3080875,0
META.US,60,20220124,200000,294.17,302.24,294.063,302.146,3898700,0
META.US,60,20220124,210000,302.17,305.38,298.68,302.19,3197433,0
META.US,60,20220124,220000,302.13,309.53,300.78,308.71,6391233,0
META.US,60,20220125,160000,299.95,303.3,297.72,299.44,2316773,0
META.US,60,20220125,170000,299.51,303.83,297.59,301.559,2400775,0
META.US,60,20220125,180000,301.5,302.2,297.865,299.12,1868666,0
META.US,60,20220125,190000,299.06,301.8,298.955,301.34,1545655,0
META.US,60,20220125,200000,301.31,304.57,299.9,304.5,1511376,0
META.US,60,20220125,210000,304.45,306.23,302.98,305.95,1831096,0
META.US,60,20220125,220000,305.965,306.01,299.71,300.15,4340614,0
META.US,60,20220126,160000,307.01,307.51,301.37,303.345,2153430,0
META.US,60,20220126,170000,303.34,304.72,298.813,299.95,2800460,0
META.US,60,20220126,180000,299.9,302.47,299.66,301.72,1397942,0
META.US,60,20220126,190000,301.74,304.49,301.67,304.09,1035086,0
META.US,60,20220126,200000,304.11,304.19,302.68,302.83,1027551,0
META.US,60,20220126,210000,302.79,305.79,296.35,297.18,2667345,0
META.US,60,20220126,220000,297.095,297.24,290.85,294.16,6277632,0
META.US,60,20220127,160000,297.752,300.19,294.73,299.55,1910100,0
META.US,60,20220127,170000,299.55,301.63,297.46,300.03,1837494,0
META.US,60,20220127,180000,300.01,301.709,299.8,301.005,1553687,0
META.US,60,20220127,190000,301,301.05,296.925,298.05,1884125,0
META.US,60,20220127,200000,298.04,298.69,294.54,296.32,1957364,0
META.US,60,20220127,210000,296.27,298.43,294.83,295.83,1385680,0
META.US,60,20220127,220000,295.97,297.86,294.26,294.64,3138662,0
META.US,60,20220128,160000,295.62,297.21,293.33,294.835,1286524,0
META.US,60,20220128,170000,294.88,297.29,293.033,297.184,2168090,0
META.US,60,20220128,180000,297.23,300.48,296.02,300,1694456,0
META.US,60,20220128,190000,300.005,301.37,298.05,298.195,1712373,0
META.US,60,20220128,200000,298.14,298.5,296.009,297.899,1707000,0
META.US,60,20220128,210000,297.85,298.62,293.58,296.83,2158937,0
META.US,60,20220128,220000,296.89,301.9,296.35,301.71,3938404,0
META.US,60,20220131,160000,300.68,304.28,299.32,303.56,1871024,0
META.US,60,20220131,170000,303.6,308.08,303.352,307.425,2172910,0
META.US,60,20220131,180000,307.36,309.199,306.51,309.199,1137161,0
META.US,60,20220131,190000,309.18,310.23,308.23,309.91,1161290,0
META.US,60,20220131,200000,309.9,310.7,308.85,310.5,947406,0
META.US,60,20220131,210000,310.5,311.35,310.1,311.15,1252872,0
